Latitude (decimal degrees):	38.110
Longitude (decimal degrees):	15.650
Elevation (m):	67
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int,WS60m,T_cell
20190101:0010,0.0,0.0,4.61,4.76,0.0,6.12,4.6
20190101:0110,0.0,0.0,4.6,4.9,0.0,6.30,4.6
20190101:0210,0.0,0.0,4.7,5.24,0.0,6.73,4.7
20190101:0310,0.0,0.0,4.77,5.45,0.0,7.00,4.8
20190101:0410,0.0,0.0,4.68,5.31,0.0,6.82,4.7
20190101:0510,0.0,0.0,4.73,5.31,0.0,6.82,4.7
20190101:0610,0.0,0.0,4.69,5.1,0.0,6.55,4.7
20190101:0710,45.0,8.38,5.27,4.83,0.0,6.21,6.7
20190101:0810,37.0,16.92,5.97,4.76,0.0,6.12,7.1
20190101:0910,59.0,23.58,6.55,5.72,0.0,7.35,8.4
20190101:1010,151.0,27.73,7.04,5.86,0.0,7.53,11.8
20190101:1110,274.0,28.84,7.27,5.45,0.0,7.00,15.8
20190101:1210,346.01,26.76,7.41,5.24,0.0,6.73,18.2
20190101:1310,298.01,21.77,7.38,5.03,0.0,6.46,16.7
20190101:1410,178.0,14.47,7.43,4.9,0.0,6.30,13.0
20190101:1510,39.23,5.47,7.07,4.0,0.0,5.14,8.3
20190101:1610,0.0,0.0,6.33,3.59,0.0,4.61,6.3
20190101:1710,0.0,0.0,5.97,3.45,0.0,4.43,6.0
20190101:1810,0.0,0.0,5.74,3.24,0.0,4.16,5.7
20190101:1910,0.0,0.0,5.75,3.1,0.0,3.98,5.8
20190101:2010,0.0,0.0,5.49,3.1,0.0,3.98,5.5
20190101:2110,0.0,0.0,5.37,3.17,0.0,4.07,5.4
20190101:2210,0.0,0.0,5.27,3.24,0.0,4.16,5.3
20190101:2310,0.0,0.0,5.36,3.17,0.0,4.07,5.4
20190102:0010,0.0,0.0,5.33,3.17,0.0,4.07,5.3
20190102:0110,0.0,0.0,5.47,3.24,0.0,4.16,5.5
20190102:0210,0.0,0.0,5.46,3.31,0.0,4.25,5.5
20190102:0310,0.0,0.0,5.35,3.31,0.0,4.25,5.3
20190102:0410,0.0,0.0,5.26,3.24,0.0,4.16,5.3
20190102:0510,0.0,0.0,5.34,3.03,0.0,3.89,5.3
20190102:0610,0.0,0.0,5.15,2.69,0.0,3.46,5.2
20190102:0710,45.0,8.38,5.52,2.69,0.0,3.46,6.9
20190102:0810,266.01,16.93,6.22,2.28,0.0,2.93,14.5
20190102:0910,266.0,23.62,7.4,2.69,0.0,3.46,15.7
20190102:1010,379.01,27.79,8.22,2.55,0.0,3.28,20.1
20190102:1110,165.0,28.93,8.83,2.41,0.0,3.10,14.0
20190102:1210,83.0,26.87,9.39,2.9,0.0,3.73,12.0
20190102:1310,68.0,21.89,9.55,2.83,0.0,3.64,11.7
20190102:1410,97.0,14.6,9.27,2.28,0.0,2.93,12.3
20190102:1510,31.57,5.61,8.62,1.66,0.0,2.13,9.6
20190102:1610,0.0,0.0,7.49,1.66,0.0,2.13,7.5
20190102:1710,0.0,0.0,7.02,1.79,0.0,2.30,7.0
20190102:1810,0.0,0.0,6.92,2.07,0.0,2.66,6.9
20190102:1910,0.0,0.0,6.45,2.14,0.0,2.75,6.5
20190102:2010,0.0,0.0,5.91,2.14,0.0,2.75,5.9
20190102:2110,0.0,0.0,5.47,2.34,0.0,3.01,5.5
20190102:2210,0.0,0.0,4.77,2.21,0.0,2.84,4.8
20190102:2310,0.0,0.0,4.45,2.28,0.0,2.93,4.5
20190103:0010,0.0,0.0,4.58,2.76,0.0,3.55,4.6
20190103:0110,0.0,0.0,3.65,3.24,0.0,4.16,3.6
20190103:0210,0.0,0.0,3.73,3.59,0.0,4.61,3.7
20190103:0310,0.0,0.0,3.41,4.62,0.0,5.94,3.4
20190103:0410,0.0,0.0,3.36,4.62,0.0,5.94,3.4
20190103:0510,0.0,0.0,3.39,4.9,0.0,6.30,3.4
20190103:0610,0.0,0.0,3.21,5.03,0.0,6.46,3.2
20190103:0710,31.0,8.38,2.95,4.55,0.0,5.85,3.9
20190103:0810,48.0,16.95,3.54,4.76,0.0,6.12,5.0
20190103:0910,239.0,23.66,3.98,5.52,0.0,7.09,11.4
20190103:1010,422.01,27.86,4.36,5.79,0.0,7.44,17.5
20190103:1110,196.0,29.03,4.65,6.21,0.0,7.98,10.8
20190103:1210,400.01,26.98,4.4,6.62,0.0,8.51,16.9
20190103:1310,328.01,22.02,4.22,7.17,0.0,9.21,14.5
20190103:1410,208.01,14.74,3.66,6.76,0.0,8.69,10.2
20190103:1510,56.0,5.74,2.93,6.14,0.0,7.89,4.7
20190103:1610,0.0,0.0,2.51,5.86,0.0,7.53,2.5
20190103:1710,0.0,0.0,2.45,5.38,0.0,6.91,2.5
20190103:1810,0.0,0.0,2.25,5.1,0.0,6.55,2.2
20190103:1910,0.0,0.0,2.33,4.9,0.0,6.30,2.3
20190103:2010,0.0,0.0,1.79,4.9,0.0,6.30,1.8
20190103:2110,0.0,0.0,1.53,4.69,0.0,6.03,1.5
20190103:2210,0.0,0.0,1.35,4.62,0.0,5.94,1.4
20190103:2310,0.0,0.0,1.26,4.9,0.0,6.30,1.3
20190104:0010,0.0,0.0,0.86,4.9,0.0,6.30,0.9
20190104:0110,0.0,0.0,0.17,4.76,0.0,6.12,0.2
20190104:0210,0.0,0.0,-0.05,4.62,0.0,5.94,-0.1
20190104:0310,0.0,0.0,-0.15,4.76,0.0,6.12,-0.1
20190104:0410,0.0,0.0,-0.16,5.1,0.0,6.55,-0.2
20190104:0510,0.0,0.0,0.0,5.31,0.0,6.82,0.0
20190104:0610,0.0,0.0,0.19,5.17,0.0,6.64,0.2
20190104:0710,59.0,8.39,0.45,5.38,0.0,6.91,2.3
20190104:0810,98.0,16.98,1.11,5.72,0.0,7.35,4.2
20190104:0910,396.01,23.71,1.7,6.14,0.0,7.89,14.1
20190104:1010,451.01,27.94,2.26,6.41,0.0,8.24,16.4
20190104:1110,175.0,29.13,2.08,6.48,0.0,8.33,7.5
20190104:1210,448.01,27.11,2.23,6.48,0.0,8.33,16.2
20190104:1310,208.0,22.16,1.95,6.62,0.0,8.51,8.4
20190104:1410,120.0,14.88,1.25,6.07,0.0,7.80,5.0
20190104:1510,6.0,5.89,0.2,4.97,0.0,6.39,0.4
20190104:1610,0.0,0.0,-0.23,5.03,0.0,6.46,-0.2
20190104:1710,0.0,0.0,-0.14,4.41,0.0,5.67,-0.1
20190104:1810,0.0,0.0,-0.06,4.07,0.0,5.23,-0.1
20190104:1910,0.0,0.0,-0.74,3.86,0.0,4.96,-0.7
20190104:2010,0.0,0.0,-0.85,3.52,0.0,4.52,-0.8
20190104:2110,0.0,0.0,-1.26,3.17,0.0,4.07,-1.3
20190104:2210,0.0,0.0,-1.36,3.03,0.0,3.89,-1.4
20190104:2310,0.0,0.0,-1.33,3.24,0.0,4.16,-1.3
20190105:0010,0.0,0.0,-1.37,3.45,0.0,4.43,-1.4
20190105:0110,0.0,0.0,-1.15,3.52,0.0,4.52,-1.1
20190105:0210,0.0,0.0,-1.03,3.79,0.0,4.87,-1.0
20190105:0310,0.0,0.0,-0.9,4.14,0.0,5.32,-0.9
20190105:0410,0.0,0.0,-0.73,4.28,0.0,5.50,-0.7
20190105:0510,0.0,0.0,-0.57,4.34,0.0,5.58,-0.6
20190105:0610,0.0,0.0,-0.46,4.34,0.0,5.58,-0.5
20190105:0710,56.0,8.4,-0.38,4.55,0.0,5.85,1.4
20190105:0810,87.0,17.02,0.73,4.9,0.0,6.30,3.4
20190105:0910,126.0,23.77,1.75,5.86,0.0,7.53,5.7
20190105:1010,94.0,28.03,2.45,6.14,0.0,7.89,5.4
20190105:1110,257.0,29.24,2.84,6.0,0.0,7.71,10.9
20190105:1210,449.01,27.24,3.08,5.79,0.0,7.44,17.1
20190105:1310,52.0,22.3,3.47,5.72,0.0,7.35,5.1
20190105:1410,139.0,15.02,3.44,5.79,0.0,7.44,7.8
20190105:1510,7.0,6.03,2.98,5.03,0.0,6.46,3.2
20190105:1610,0.0,0.0,2.47,4.41,0.0,5.67,2.5
20190105:1710,0.0,0.0,2.23,4.28,0.0,5.50,2.2
20190105:1810,0.0,0.0,2.54,4.21,0.0,5.41,2.5
20190105:1910,0.0,0.0,3.1,4.41,0.0,5.67,3.1
20190105:2010,0.0,0.0,3.44,4.34,0.0,5.58,3.4
20190105:2110,0.0,0.0,3.57,4.28,0.0,5.50,3.6
20190105:2210,0.0,0.0,3.69,4.0,0.0,5.14,3.7
20190105:2310,0.0,0.0,3.79,3.93,0.0,5.05,3.8
20190106:0010,0.0,0.0,3.81,4.0,0.0,5.14,3.8
20190106:0110,0.0,0.0,4.07,3.03,0.0,3.89,4.1
20190106:0210,0.0,0.0,4.24,2.76,0.0,3.55,4.2
20190106:0310,0.0,0.0,3.54,2.76,0.0,3.55,3.5
20190106:0410,0.0,0.0,3.3,2.9,0.0,3.73,3.3
20190106:0510,0.0,0.0,3.47,2.9,0.0,3.73,3.5
20190106:0610,0.0,0.0,3.66,3.03,0.0,3.89,3.7
20190106:0710,56.0,8.42,4.62,2.97,0.0,3.82,6.4
20190106:0810,139.0,17.06,5.86,3.17,0.0,4.07,10.2
20190106:0910,396.01,23.84,6.88,4.07,0.0,5.23,19.3
20190106:1010,446.01,28.12,7.52,4.62,0.0,5.94,21.5
20190106:1110,497.01,29.36,8.01,4.9,0.0,6.30,23.5
20190106:1210,304.0,27.38,8.31,4.97,0.0,6.39,17.8
20190106:1310,342.01,22.45,8.34,4.9,0.0,6.30,19.0
20190106:1410,222.01,15.17,8.13,4.55,0.0,5.85,15.1
20190106:1510,10.0,6.19,7.58,3.72,0.0,4.78,7.9
20190106:1610,0.0,0.0,6.5,3.03,0.0,3.89,6.5
20190106:1710,0.0,0.0,5.84,2.76,0.0,3.55,5.8
20190106:1810,0.0,0.0,5.37,2.69,0.0,3.46,5.4
20190106:1910,0.0,0.0,5.48,3.45,0.0,4.43,5.5
20190106:2010,0.0,0.0,5.3,2.83,0.0,3.64,5.3
20190106:2110,0.0,0.0,5.08,2.62,0.0,3.37,5.1
20190106:2210,0.0,0.0,4.8,2.41,0.0,3.10,4.8
20190106:2310,0.0,0.0,4.61,2.62,0.0,3.37,4.6
20190107:0010,0.0,0.0,4.18,3.17,0.0,4.07,4.2
20190107:0110,0.0,0.0,4.03,3.03,0.0,3.89,4.0
20190107:0210,0.0,0.0,3.5,3.03,0.0,3.89,3.5
20190107:0310,0.0,0.0,3.5,2.97,0.0,3.82,3.5
20190107:0410,0.0,0.0,3.5,2.97,0.0,3.82,3.5
20190107:0510,0.0,0.0,3.62,3.17,0.0,4.07,3.6
20190107:0610,0.0,0.0,3.64,3.79,0.0,4.87,3.6
20190107:0710,41.0,8.44,4.05,2.97,0.0,3.82,5.3
20190107:0810,272.01,17.1,5.32,2.76,0.0,3.55,13.8
20190107:0910,361.01,23.91,6.25,3.31,0.0,4.25,17.5
20190107:1010,475.01,28.22,6.91,3.1,0.0,3.98,21.8
20190107:1110,413.01,29.49,7.45,3.79,0.0,4.87,20.4
20190107:1210,54.0,27.52,6.81,5.52,0.0,7.09,8.5
20190107:1310,58.0,22.6,6.13,5.45,0.0,7.00,7.9
20190107:1410,32.0,15.33,5.9,5.59,0.0,7.18,6.9
20190107:1510,7.0,6.34,5.19,4.28,0.0,5.50,5.4
20190107:1610,0.0,0.0,4.71,4.28,0.0,5.50,4.7
20190107:1710,0.0,0.0,4.46,4.21,0.0,5.41,4.5
20190107:1810,0.0,0.0,4.41,4.21,0.0,5.41,4.4
20190107:1910,0.0,0.0,4.69,4.41,0.0,5.67,4.7
20190107:2010,0.0,0.0,4.54,4.48,0.0,5.76,4.5
20190107:2110,0.0,0.0,4.5,4.55,0.0,5.85,4.5
20190107:2210,0.0,0.0,4.3,4.55,0.0,5.85,4.3
20190107:2310,0.0,0.0,4.02,4.41,0.0,5.67,4.0
20190108:0010,0.0,0.0,3.58,4.0,0.0,5.14,3.6
20190108:0110,0.0,0.0,3.36,3.72,0.0,4.78,3.4
20190108:0210,0.0,0.0,3.15,3.52,0.0,4.52,3.1
20190108:0310,0.0,0.0,2.97,3.31,0.0,4.25,3.0
20190108:0410,0.0,0.0,2.89,3.17,0.0,4.07,2.9
20190108:0510,0.0,0.0,2.86,2.97,0.0,3.82,2.9
20190108:0610,0.0,0.0,2.99,2.76,0.0,3.55,3.0
20190108:0710,60.0,8.47,3.38,2.69,0.0,3.46,5.3
20190108:0810,269.01,17.16,4.68,2.48,0.0,3.19,13.1
20190108:0910,403.01,23.99,5.96,3.1,0.0,3.98,18.6
20190108:1010,474.01,28.33,6.82,2.9,0.0,3.73,21.6
20190108:1110,510.01,29.62,7.44,2.76,0.0,3.55,23.4
20190108:1210,481.01,27.67,7.85,2.48,0.0,3.19,22.9
20190108:1310,366.01,22.76,7.93,1.79,0.0,2.30,19.4
20190108:1410,239.01,15.49,7.93,1.52,0.0,1.95,15.4
20190108:1510,64.0,6.5,7.47,1.72,0.0,2.21,9.5
20190108:1610,0.0,0.0,6.39,1.93,0.0,2.48,6.4
20190108:1710,0.0,0.0,5.67,2.14,0.0,2.75,5.7
20190108:1810,0.0,0.0,5.32,2.21,0.0,2.84,5.3
20190108:1910,0.0,0.0,5.56,2.55,0.0,3.28,5.6
20190108:2010,0.0,0.0,5.41,2.48,0.0,3.19,5.4
20190108:2110,0.0,0.0,5.45,2.28,0.0,2.93,5.5
20190108:2210,0.0,0.0,5.36,2.14,0.0,2.75,5.4
20190108:2310,0.0,0.0,5.19,2.0,0.0,2.57,5.2
20190109:0010,0.0,0.0,5.11,2.0,0.0,2.57,5.1
20190109:0110,0.0,0.0,5.33,2.0,0.0,2.57,5.3
20190109:0210,0.0,0.0,5.56,2.0,0.0,2.57,5.6
20190109:0310,0.0,0.0,5.85,1.93,0.0,2.48,5.8
20190109:0410,0.0,0.0,6.04,2.07,0.0,2.66,6.0
20190109:0510,0.0,0.0,6.18,1.93,0.0,2.48,6.2
20190109:0610,0.0,0.0,6.14,1.86,0.0,2.39,6.1
20190109:0710,18.0,8.51,6.39,1.59,0.0,2.04,7.0
20190109:0810,102.0,17.22,7.19,1.38,0.0,1.77,10.4
20190109:0910,238.0,24.08,7.99,1.52,0.0,1.95,15.4
20190109:1010,203.0,28.45,8.9,1.59,0.0,2.04,15.2
20190109:1110,150.0,29.76,9.52,2.21,0.0,2.84,14.2
20190109:1210,81.0,27.83,9.82,2.69,0.0,3.46,12.4
20190109:1310,67.0,22.93,9.59,2.48,0.0,3.19,11.7
20190109:1410,60.0,15.66,8.93,2.0,0.0,2.57,10.8
20190109:1510,11.0,6.67,8.36,1.24,0.0,1.59,8.7
20190109:1610,0.0,0.0,7.71,1.38,0.0,1.77,7.7
20190109:1710,0.0,0.0,6.93,1.59,0.0,2.04,6.9
20190109:1810,0.0,0.0,6.57,1.79,0.0,2.30,6.6
20190109:1910,0.0,0.0,6.1,1.59,0.0,2.04,6.1
20190109:2010,0.0,0.0,4.81,1.24,0.0,1.59,4.8
20190109:2110,0.0,0.0,6.26,0.41,0.0,0.53,6.3
20190109:2210,0.0,0.0,5.63,0.76,0.0,0.98,5.6
20190109:2310,0.0,0.0,4.65,0.97,0.0,1.25,4.7
20190110:0010,0.0,0.0,5.57,0.62,0.0,0.80,5.6
20190110:0110,0.0,0.0,4.62,0.83,0.0,1.07,4.6
20190110:0210,0.0,0.0,2.97,1.52,0.0,1.95,3.0
20190110:0310,0.0,0.0,2.85,1.93,0.0,2.48,2.9
20190110:0410,0.0,0.0,3.87,3.1,0.0,3.98,3.9
20190110:0510,0.0,0.0,3.84,4.0,0.0,5.14,3.8
20190110:0610,0.0,0.0,3.63,4.14,0.0,5.32,3.6
20190110:0710,39.0,8.56,4.4,2.34,0.0,3.01,5.6
20190110:0810,24.0,17.29,5.04,2.14,0.0,2.75,5.8
20190110:0910,150.0,24.17,5.77,2.83,0.0,3.64,10.5
20190110:1010,209.0,28.57,6.54,4.21,0.0,5.41,13.1
20190110:1110,211.0,29.91,6.67,3.52,0.0,4.52,13.3
20190110:1210,59.0,27.99,6.43,3.45,0.0,4.43,8.3
20190110:1310,64.0,23.1,6.03,3.1,0.0,3.98,8.0
20190110:1410,237.01,15.83,5.6,2.62,0.0,3.37,13.0
20190110:1510,72.0,6.83,4.87,2.41,0.0,3.10,7.1
20190110:1610,0.0,0.0,4.0,2.28,0.0,2.93,4.0
20190110:1710,0.0,0.0,3.51,2.41,0.0,3.10,3.5
20190110:1810,0.0,0.0,3.18,2.07,0.0,2.66,3.2
20190110:1910,0.0,0.0,3.47,1.66,0.0,2.13,3.5
20190110:2010,0.0,0.0,3.24,1.38,0.0,1.77,3.2
20190110:2110,0.0,0.0,3.02,1.1,0.0,1.41,3.0
20190110:2210,0.0,0.0,2.75,0.83,0.0,1.07,2.8
20190110:2310,0.0,0.0,3.26,0.62,0.0,0.80,3.3
20190111:0010,0.0,0.0,3.46,0.69,0.0,0.89,3.5
20190111:0110,0.0,0.0,3.58,0.41,0.0,0.53,3.6
20190111:0210,0.0,0.0,3.41,0.34,0.0,0.44,3.4
20190111:0310,0.0,0.0,3.48,0.48,0.0,0.62,3.5
20190111:0410,0.0,0.0,3.47,0.41,0.0,0.53,3.5
20190111:0510,0.0,0.0,3.43,0.62,0.0,0.80,3.4
20190111:0610,0.0,0.0,3.24,0.34,0.0,0.44,3.2
20190111:0710,61.0,8.61,4.03,0.76,0.0,0.98,5.9
20190111:0810,141.0,17.36,4.47,0.55,0.0,0.71,8.9
20190111:0910,325.01,24.27,6.24,0.9,0.0,1.16,16.4
20190111:1010,436.01,28.7,6.87,0.97,0.0,1.25,20.5
20190111:1110,425.01,30.06,7.14,0.97,0.0,1.25,20.4
20190111:1210,375.01,28.16,7.22,0.69,0.0,0.89,18.9
20190111:1310,276.0,23.28,7.21,0.48,0.0,0.62,15.8
20190111:1410,209.01,16.01,6.82,0.41,0.0,0.53,13.4
20190111:1510,62.0,7.01,6.28,0.41,0.0,0.53,8.2
20190111:1610,0.0,0.0,5.43,0.69,0.0,0.89,5.4
20190111:1710,0.0,0.0,4.73,1.24,0.0,1.59,4.7
20190111:1810,0.0,0.0,4.2,1.59,0.0,2.04,4.2
20190111:1910,0.0,0.0,4.05,1.24,0.0,1.59,4.0
20190111:2010,0.0,0.0,3.28,1.03,0.0,1.32,3.3
20190111:2110,0.0,0.0,2.99,1.31,0.0,1.68,3.0
20190111:2210,0.0,0.0,2.9,1.38,0.0,1.77,2.9
20190111:2310,0.0,0.0,2.99,1.52,0.0,1.95,3.0
20190112:0010,0.0,0.0,2.87,1.66,0.0,2.13,2.9
20190112:0110,0.0,0.0,2.92,1.86,0.0,2.39,2.9
20190112:0210,0.0,0.0,1.7,2.0,0.0,2.57,1.7
20190112:0310,0.0,0.0,1.83,2.14,0.0,2.75,1.8
20190112:0410,0.0,0.0,2.02,2.34,0.0,3.01,2.0
20190112:0510,0.0,0.0,3.27,2.48,0.0,3.19,3.3
20190112:0610,0.0,0.0,3.29,2.62,0.0,3.37,3.3
20190112:0710,51.0,8.66,3.35,2.97,0.0,3.82,4.9
20190112:0810,181.0,17.44,4.21,3.45,0.0,4.43,9.9
20190112:0910,363.01,24.38,5.03,3.86,0.0,4.96,16.4
20190112:1010,412.01,28.84,5.78,4.83,0.0,6.21,18.7
20190112:1110,484.01,30.23,6.24,5.66,0.0,7.27,21.4
20190112:1210,488.01,28.34,6.11,6.0,0.0,7.71,21.4
20190112:1310,380.01,23.46,6.03,6.0,0.0,7.71,17.9
20190112:1410,77.0,16.19,5.75,5.72,0.0,7.35,8.2
20190112:1510,88.0,7.18,5.15,5.17,0.0,6.64,7.9
20190112:1610,0.0,0.0,4.41,4.97,0.0,6.39,4.4
20190112:1710,0.0,0.0,3.87,4.83,0.0,6.21,3.9
20190112:1810,0.0,0.0,3.79,4.83,0.0,6.21,3.8
20190112:1910,0.0,0.0,4.13,4.76,0.0,6.12,4.1
20190112:2010,0.0,0.0,4.05,4.55,0.0,5.85,4.0
20190112:2110,0.0,0.0,4.15,4.41,0.0,5.67,4.2
20190112:2210,0.0,0.0,4.17,4.34,0.0,5.58,4.2
20190112:2310,0.0,0.0,4.38,4.34,0.0,5.58,4.4
20190113:0010,0.0,0.0,4.43,4.34,0.0,5.58,4.4
20190113:0110,0.0,0.0,4.15,4.14,0.0,5.32,4.2
20190113:0210,0.0,0.0,3.94,3.86,0.0,4.96,3.9
20190113:0310,0.0,0.0,4.03,3.66,0.0,4.70,4.0
20190113:0410,0.0,0.0,4.16,3.66,0.0,4.70,4.2
20190113:0510,0.0,0.0,4.41,3.79,0.0,4.87,4.4
20190113:0610,0.0,0.0,4.52,3.59,0.0,4.61,4.5
20190113:0710,56.0,8.73,5.01,3.72,0.0,4.78,6.8
20190113:0810,98.0,17.53,6.0,3.66,0.0,4.70,9.1
20190113:0910,215.0,24.5,6.8,4.48,0.0,5.76,13.5
20190113:1010,392.01,28.98,7.38,4.34,0.0,5.58,19.6
20190113:1110,190.0,30.39,8.15,4.62,0.0,5.94,14.1
20190113:1210,392.01,28.52,8.39,4.41,0.0,5.67,20.6
20190113:1310,262.0,23.65,8.18,4.0,0.0,5.14,16.4
20190113:1410,118.0,16.38,7.9,3.38,0.0,4.34,11.6
20190113:1510,59.0,7.36,7.55,2.34,0.0,3.01,9.4
20190113:1610,0.0,0.0,6.78,1.17,0.0,1.50,6.8
20190113:1710,0.0,0.0,6.0,0.9,0.0,1.16,6.0
20190113:1810,0.0,0.0,5.42,0.62,0.0,0.80,5.4
20190113:1910,0.0,0.0,5.36,0.48,0.0,0.62,5.4
20190113:2010,0.0,0.0,5.14,0.62,0.0,0.80,5.1
20190113:2110,0.0,0.0,4.99,0.62,0.0,0.80,5.0
20190113:2210,0.0,0.0,4.2,1.1,0.0,1.41,4.2
20190113:2310,0.0,0.0,4.09,1.52,0.0,1.95,4.1
20190114:0010,0.0,0.0,3.94,1.72,0.0,2.21,3.9
20190114:0110,0.0,0.0,4.61,1.59,0.0,2.04,4.6
20190114:0210,0.0,0.0,4.28,1.45,0.0,1.86,4.3
20190114:0310,0.0,0.0,3.72,1.24,0.0,1.59,3.7
20190114:0410,0.0,0.0,3.85,1.03,0.0,1.32,3.9
20190114:0510,0.0,0.0,5.02,0.28,0.0,0.36,5.0
20190114:0610,0.0,0.0,4.89,0.07,0.0,0.09,4.9
20190114:0710,59.0,8.79,5.79,0.28,0.0,0.36,7.6
20190114:0810,145.0,17.62,6.27,0.21,0.0,0.27,10.8
20190114:0910,338.01,24.62,8.17,0.34,0.0,0.44,18.7
20190114:1010,292.0,29.13,9.32,0.48,0.0,0.62,18.4
20190114:1110,310.0,30.57,9.48,0.41,0.0,0.53,19.2
20190114:1210,85.0,28.71,9.65,0.97,0.0,1.25,12.3
20190114:1310,34.0,23.84,9.06,1.66,0.0,2.13,10.1
20190114:1410,22.0,16.57,8.31,1.24,0.0,1.59,9.0
20190114:1510,15.0,7.55,7.73,1.72,0.0,2.21,8.2
20190114:1610,0.0,0.0,7.21,3.31,0.0,4.25,7.2
20190114:1710,0.0,0.0,6.78,4.21,0.0,5.41,6.8
20190114:1810,0.0,0.0,6.58,3.93,0.0,5.05,6.6
20190114:1910,0.0,0.0,6.49,3.45,0.0,4.43,6.5
20190114:2010,0.0,0.0,6.4,3.31,0.0,4.25,6.4
20190114:2110,0.0,0.0,6.37,3.72,0.0,4.78,6.4
20190114:2210,0.0,0.0,6.38,4.07,0.0,5.23,6.4
20190114:2310,0.0,0.0,6.49,4.0,0.0,5.14,6.5
20190115:0010,0.0,0.0,6.54,4.34,0.0,5.58,6.5
20190115:0110,0.0,0.0,6.24,4.83,0.0,6.21,6.2
20190115:0210,0.0,0.0,6.06,4.76,0.0,6.12,6.1
20190115:0310,0.0,0.0,5.98,4.69,0.0,6.03,6.0
20190115:0410,0.0,0.0,5.99,4.48,0.0,5.76,6.0
20190115:0510,0.0,0.0,5.73,4.0,0.0,5.14,5.7
20190115:0610,0.0,0.0,5.5,3.52,0.0,4.52,5.5
20190115:0710,58.0,8.87,5.84,3.1,0.0,3.98,7.7
20190115:0810,278.01,17.72,6.98,3.03,0.0,3.89,15.7
20190115:0910,419.01,24.75,7.91,4.48,0.0,5.76,21.0
20190115:1010,414.01,29.29,8.33,5.24,0.0,6.73,21.3
20190115:1110,527.01,30.75,8.59,5.38,0.0,6.91,25.1
20190115:1210,501.01,28.91,8.48,5.31,0.0,6.82,24.1
20190115:1310,406.01,24.04,8.28,5.17,0.0,6.64,21.0
20190115:1410,269.01,16.76,7.72,5.03,0.0,6.46,16.1
20190115:1510,96.0,7.74,7.12,4.48,0.0,5.76,10.1
20190115:1610,0.0,0.0,6.07,3.86,0.0,4.96,6.1
20190115:1710,0.0,0.0,5.33,3.38,0.0,4.34,5.3
20190115:1810,0.0,0.0,4.93,2.97,0.0,3.82,4.9
20190115:1910,0.0,0.0,5.0,2.76,0.0,3.55,5.0
20190115:2010,0.0,0.0,4.58,2.41,0.0,3.10,4.6
20190115:2110,0.0,0.0,4.2,2.21,0.0,2.84,4.2
20190115:2210,0.0,0.0,3.74,2.0,0.0,2.57,3.7
20190115:2310,0.0,0.0,3.03,1.79,0.0,2.30,3.0
20190116:0010,0.0,0.0,2.24,1.66,0.0,2.13,2.2
20190116:0110,0.0,0.0,1.96,1.59,0.0,2.04,2.0
20190116:0210,0.0,0.0,1.85,1.52,0.0,1.95,1.9
20190116:0310,0.0,0.0,1.93,1.45,0.0,1.86,1.9
20190116:0410,0.0,0.0,2.22,1.31,0.0,1.68,2.2
20190116:0510,0.0,0.0,2.81,1.1,0.0,1.41,2.8
20190116:0610,0.0,0.0,3.49,0.97,0.0,1.25,3.5
20190116:0710,0.0,0.0,4.4,0.41,0.0,0.53,4.4
20190116:0810,291.01,17.83,4.06,0.34,0.0,0.44,13.2
20190116:0910,428.01,24.88,6.93,0.55,0.0,0.71,20.3
20190116:1010,509.01,29.45,7.9,0.69,0.0,0.89,23.8
20190116:1110,536.01,30.94,8.57,0.76,0.0,0.98,25.3
20190116:1210,507.01,29.11,9.09,0.9,0.0,1.16,24.9
20190116:1310,410.01,24.24,9.36,0.97,0.0,1.25,22.2
20190116:1410,274.01,16.96,9.3,0.97,0.0,1.25,17.9
20190116:1510,97.0,7.93,8.86,0.83,0.0,1.07,11.9
20190116:1610,0.0,0.0,7.69,0.62,0.0,0.80,7.7
20190116:1710,0.0,0.0,7.39,0.41,0.0,0.53,7.4
20190116:1810,0.0,0.0,6.86,0.21,0.0,0.27,6.9
20190116:1910,0.0,0.0,6.2,0.55,0.0,0.71,6.2
20190116:2010,0.0,0.0,5.75,0.62,0.0,0.80,5.8
20190116:2110,0.0,0.0,5.47,0.55,0.0,0.71,5.5
20190116:2210,0.0,0.0,5.23,0.48,0.0,0.62,5.2
20190116:2310,0.0,0.0,5.06,0.34,0.0,0.44,5.1
20190117:0010,0.0,0.0,4.98,0.21,0.0,0.27,5.0
20190117:0110,0.0,0.0,4.88,0.21,0.0,0.27,4.9
20190117:0210,0.0,0.0,4.92,0.21,0.0,0.27,4.9
20190117:0310,0.0,0.0,4.93,0.34,0.0,0.44,4.9
20190117:0410,0.0,0.0,4.93,0.48,0.0,0.62,4.9
20190117:0510,0.0,0.0,5.02,0.69,0.0,0.89,5.0
20190117:0610,0.0,0.0,5.18,0.9,0.0,1.16,5.2
20190117:0710,45.0,9.04,4.9,1.03,0.0,1.32,6.3
20190117:0810,286.01,17.94,5.53,1.17,0.0,1.50,14.5
20190117:0910,419.01,25.03,8.78,2.14,0.0,2.75,21.9
20190117:1010,499.01,29.63,9.85,3.03,0.0,3.89,25.4
